Line No.  LEXEME    (TOKEN-TYPE) 	ATTRIBUTE 

8         ownership 	42  (ID)      	5126584  ( id )
8         ]         	130 (CLS_BRAC) 	0        ( ] )
8         +         	999 (PLUS)    	0        ( + )
9         bestir    	42  (ID)      	5127840  ( id )
9         [         	120 (OPN_BRAC) 	0        ( [ )
9         breaking  	42  (ID)      	5128912  ( id )
9         ]         	130 (CLS_BRAC) 	0        ( ] )
9         *         	32  (TIMES)   	0        ( mulop )
9         cued      	42  (ID)      	5130168  ( id )
9         *         	32  (TIMES)   	0        ( mulop )
9         not       	13  (NOT)     	0        ( not )
9         481.22    	45  (REAL)    	2        ( num )
9         <>        	30  (NEQ)     	1        ( relop )
9         arrows    	42  (ID)      	5131792  ( id )
9         [         	120 (OPN_BRAC) 	0        ( [ )
9         copywriter 	42  (ID)      	5132864  ( id )
9         <>        	30  (NEQ)     	1        ( relop )
10        hyperbolic 	42  (ID)      	5133936  ( id )
10        ]         	130 (CLS_BRAC) 	0        ( ] )
10        +         	999 (PLUS)    	0        ( + )
10        reliever  	42  (ID)      	5135192  ( id )
10        [         	120 (OPN_BRAC) 	0        ( [ )
10        intentness 	42  (ID)      	5136264  ( id )
10        +         	999 (PLUS)    	0        ( + )
10        doubt     	42  (ID)      	5137336  ( id )
10        ]         	130 (CLS_BRAC) 	0        ( ] )
10        )         	145 (CLS_PAR) 	0        ( ) )
10        )         	145 (CLS_PAR) 	0        ( ) )
10        mod       	32  (MOD)     	3        ( mulop )
10        not       	13  (NOT)     	0        ( not )
10        Cajun     	42  (ID)      	5139144  ( id )
10        [         	120 (OPN_BRAC) 	0        ( [ )
11        bunglers  	42  (ID)      	5140216  ( id )
11        *         	32  (TIMES)   	0        ( mulop )
11        answering 	42  (ID)      	5141288  ( id )
11        [         	120 (OPN_BRAC) 	0        ( [ )
11        (         	140 (OPN_PAR) 	0        ( ( )
11        hangars   	42  (ID)      	5142544  ( id )
11        )         	145 (CLS_PAR) 	0        ( ) )
11        -         	31  (MINUS)   	1        ( addop )
11        recode    	42  (ID)      	5143800  ( id )
11        mod       	32  (MOD)     	3        ( mulop )
11        lucrative 	42  (ID)      	5144872  ( id )
11        mod       	32  (MOD)     	3        ( mulop )
11        widest    	42  (ID)      	5145944  ( id )
12        div       	32  (DIV)     	2        ( mulop )
12        reluctant 	42  (ID)      	5147016  ( id )
12        [         	120 (OPN_BRAC) 	0        ( [ )
12        pelican   	42  (ID)      	5148088  ( id )
12        ]         	130 (CLS_BRAC) 	0        ( ] )
12        =         	30  (EQ)      	0        ( relop )
12        silo      	42  (ID)      	5149344  ( id )
12        /         	32  (DIVIDE)  	1        ( mulop )
12        (         	140 (OPN_PAR) 	0        ( ( )
12        declarers 	42  (ID)      	5150600  ( id )
12        )         	145 (CLS_PAR) 	0        ( ) )
12        mod       	32  (MOD)     	3        ( mulop )
12        intruder  	42  (ID)      	5151856  ( id )
12        [         	120 (OPN_BRAC) 	0        ( [ )
12        Armonk    	42  (ID)      	5152928  ( id )
13        ]         	130 (CLS_BRAC) 	0        ( ] )
13        ]         	130 (CLS_BRAC) 	0        ( ] )
13        /         	32  (DIVIDE)  	1        ( mulop )
13        0         	45  (INT)     	0        ( num )
13        -         	31  (MINUS)   	1        ( addop )
13        (         	140 (OPN_PAR) 	0        ( ( )
13        (         	140 (OPN_PAR) 	0        ( ( )
13        pliant    	42  (ID)      	5155104  ( id )
13        +         	999 (PLUS)    	0        ( + )
13        parochial 	42  (ID)      	5156176  ( id )
13        +         	999 (PLUS)    	0        ( + )
13        crewed    	42  (ID)      	5157248  ( id )
13        and       	32  (AND)     	4        ( mulop )
13        compacter 	42  (ID)      	5158320  ( id )
13        =         	30  (EQ)      	0        ( relop )
13        sloping   	42  (ID)      	5159392  ( id )
13        )         	145 (CLS_PAR) 	0        ( ) )
13        )         	145 (CLS_PAR) 	0        ( ) )
14        <>        	30  (NEQ)     	1        ( relop )
14        distillers 	42  (ID)      	5160832  ( id )
14        mod       	32  (MOD)     	3        ( mulop )
14        Kennan    	42  (ID)      	5161904  ( id )
14        [         	120 (OPN_BRAC) 	0        ( [ )
14        allergies 	42  (ID)      	5162976  ( id )
14        ]         	130 (CLS_BRAC) 	0        ( ] )
14        /         	32  (DIVIDE)  	1        ( mulop )
14        not       	13  (NOT)     	0        ( not )
14        Cummings  	42  (ID)      	5164416  ( id )
14        [         	120 (OPN_BRAC) 	0        ( [ )
14        distribute 	42  (ID)      	5165488  ( id )
14        ]         	130 (CLS_BRAC) 	0        ( ] )
14        /         	32  (DIVIDE)  	1        ( mulop )
15        abhorrer  	42  (ID)      	5166744  ( id )
15        div       	32  (DIV)     	2        ( mulop )
15        outlet    	42  (ID)      	5167816  ( id )
15        [         	120 (OPN_BRAC) 	0        ( [ )
15        4         	45  (INT)     	0        ( num )
15        /         	32  (DIVIDE)  	1        ( mulop )
15        7686      	45  (INT)     	0        ( num )
15        ]         	130 (CLS_BRAC) 	0        ( ] )
15        *         	32  (TIMES)   	0        ( mulop )
15        (         	140 (OPN_PAR) 	0        ( ( )
15        83        	45  (INT)     	0        ( num )
15        mod       	32  (MOD)     	3        ( mulop )
15        81.96     	45  (REAL)    	2        ( num )
15        >         	30  (GTHEN)   	5        ( relop )
15        dislocated 	42  (ID)      	5170728  ( id )
15        and       	32  (AND)     	4        ( mulop )
16        cleaning  	42  (ID)      	5171800  ( id )
16        *         	32  (TIMES)   	0        ( mulop )
16        lining    	42  (ID)      	5172872  ( id )
16        [         	120 (OPN_BRAC) 	0        ( [ )
16        sheriffs  	42  (ID)      	5173944  ( id )
16        ]         	130 (CLS_BRAC) 	0        ( ] )
16        +         	999 (PLUS)    	0        ( + )
16        steadied  	42  (ID)      	5175200  ( id )
16        *         	32  (TIMES)   	0        ( mulop )
16        (         	140 (OPN_PAR) 	0        ( ( )
16        severed   	42  (ID)      	5176456  ( id )
16        )         	145 (CLS_PAR) 	0        ( ) )
16        mod       	32  (MOD)     	3        ( mulop )
16        salutation 	42  (ID)      	5177712  ( id )
17        [         	120 (OPN_BRAC) 	0        ( [ )
17        Fletcher  	42  (ID)      	5178784  ( id )
17        ]         	130 (CLS_BRAC) 	0        ( ] )
17        -         	31  (MINUS)   	1        ( addop )
17        pins      	42  (ID)      	5180040  ( id )
17        /         	32  (DIVIDE)  	1        ( mulop )
17        Punjabi   	42  (ID)      	5181112  ( id )
17        /         	32  (DIVIDE)  	1        ( mulop )
17        yourselves 	42  (ID)      	5182184  ( id )
17        div       	32  (DIV)     	2        ( mulop )
17        2379.4e2  	45  (REAL)    	1        ( num )
17        div       	32  (DIV)     	2        ( mulop )
17        not       	13  (NOT)     	0        ( not )
